id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;;;;;;;;;;;
32;nzz_1996_03_08_a205_seg6_s3_hit1;Die Schweizer Ärzte hingegen fordern ohne Vorbehalt eine Ausweitung und Diversifizierung der ärztlichen Rauschgiftabgabe . ;fordern;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
33;nzz_1996_03_12_a35_seg3_s3_hit1;Schwer einzuschätzen ist die Rolle der kantonal bisher noch ohne Leistungsausweis dastehenden SVP . ;dastehend;leistungsausweis;;done;yes;yes;rein;notwendig;;;;;;;;;;;
34;nzz_1996_03_19_a24_seg5_s8_hit1;Anderseits können gerade jetzt die ohne absolute Parlamentsmehrheit regierenden Sozialisten die Kommunisten nicht ganz links liegen lassen . ;regierend;parlamentsmehrheit;;done;yes;yes;rein;frei;;;;;;;;;;;
35;nzz_1996_03_09_a135_seg8_s11_hit1;Während hier der kritische Realismus noch textlich mitgeliefert wird , ist er einige Jahrzehnte später bei Thomas Annan - systematischer Stadtdokumentar wie Marville für Paris - ohne Umweg einsichtig : Seine Glasgow-Photos zeigen die engen , verslumten Altstadtviertel der Industriestadt in ungeschönter Direktheit und krassem Licht-Schatten-Verismus . ;einsichtig;umweg;;done;yes;yes;rein;frei;;;;;;;;;;;
36;nzz_1995_10_18_a21_seg3_s5_hit1;Es ist wohl anzunehmen , dass Israel irgend etwas unternehmen wird , da bei den radikalen arabischen Gruppierungen nicht der Eindruck erweckt werden dürfe , der jüdische Staat sei bereit , solche schmerzlichen Schläge ohne Erwiderung einzustecken . ;einstecken;erwiderung;;done;yes;yes;rein;frei;;;;;;;;;;;
37;nzz_1995_10_19_a86_seg2_s8_hit1;Angesichts dieses Besuchs hatte Panskow vor der Abstimmung in der Duma eindringlich an die Abgeordneten appelliert , dem Entwurf bereits in erster Lesung zuzustimmen , damit das Land bei den Parlamentswahlen im Dezember « nicht ohne Budget » dastehe . ;dastehen;budget;;done;yes;yes;rein;notwendig;;;;;;;;;;;
38;nzz_1995_09_09_a156_seg3_s1_hit1;Der Vorstand der SP-Frauen der Stadt und des Kantons Zürich hat sich am Donnerstag abend ohne Vorbehalt für die Nominierung von Moritz Leuenberger als Bundesratskandidat durch die Zürcher Kantonalpartei ausgesprochen . ;aussprechen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
39;nzz_1995_09_01_a18_seg8_s1_hit1;Dazu kommt , dass die Oppositionsgruppen unter dem Schirm des Irakischen Nationalkongresses ( INC ) Hussein Kamel nicht ohne Vorbehalt begrüssen . ;begrüßen;vorbehalt;anim_like;done;yes;yes;agens;frei;;;;;;;;;;;
40;nzz_1995_09_01_a174_seg6_s2_hit1;Dort , wo es gemeinhin als chic gilt , über den kulturzerstörerischen Einfluss des Fernsehens zu klagen und jede Produktion für den Bildschirm als Verrat an der guten Sache des cinéma vérité zu verdammen , arbeitet er seit mehr als dreissig Jahren offensichtlich ohne schlechtes Gewissen als festangestellter Redaktor beim ZDF . ;arbeiten;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
41;nzz_1995_10_19_a73_seg4_s4_hit1;Der Vorsitzende der Bank , William E. B. Siart , erklärte sich gar « zutiefst davon enttäuscht » , dass Wells Fargo « ohne Einladung » gehandelt habe . ;handeln;einladung;;done;yes;yes;rein;möglich;;;;;;;;;;;
42;nzz_1995_10_24_a44_seg5_s6_hit1;Damit nahm die SVP der SP , die diesmal ohne grün-alternative Listenverbindung angerückt war , einen Sitz ab . ;anrücken;listenverbindung;;done;yes;yes;rein;frei;;;;;;;;;;;
43;nzz_1998_02_23_a182_seg3_s10_hit1;Die ZSC Lions kämpften willig und wirr , spielten aber ohne erkennbares Konzept in den drei Zonen und ohne einen Leaderblock , auf den die Konkurrenz ( La Chaux-de-Fonds , Herisau ) in den kommenden Prüfungen durchaus wird zählen dürfen . ;spielen;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
44;nzz_1998_01_06_a149_seg2_s31_hit1;Der seit 1981 amtierende Porto-Präsident war ohne Gegenkandidat vor dem Match für drei weitere Jahre gewählt worden . ;wählen;gegenkandidat;BU;not_of_interest;yes;no;;;;;;;;;;;;;
45;nzz_1995_11_25_a204_seg3_s13_hit1;Zuletzt das Wagnis : hinüberspringen und ( ohne Wagnis ) das Darüberpissen der Buben . ;--;wagnis;;not_of_interest;no;;;;;;;;;;;;;;
46;nzz_1994_04_19_a30_seg11_s10_hit1;Die hier verbliebenen Russen - ihr Anteil an der Bevölkerung beträgt lediglich neun Prozent - erhielten ohne Vorbehalt das litauische Bürgerrecht . ;erhalten;vorbehalt;unknown;done;yes;yes;agens;frei;;;;;;;;;;;
47;nzz_1994_04_07_a156_seg3_s8_hit1;Mit dem Fall wird sich im übrigen auch der Erziehungsrat zu befassen haben , da gegen den umstrittenen Lehrer ein Verfahren zur Amtsenthebung eingeleitet worden ist gemäss @ 9 des Unterrichtsgesetzes , der bestimmt , dass der Erziehungsrat befugt ist , « einem Lehrer , der um seines eigenen Verschuldens willen seinen Unterricht ohne Nachteil für die Schule nicht fortsetzen könnte , die fernere Erteilung desselben zu untersagen » . ;fortsetzen;nachteil;;done;yes;yes;rein;frei;;;;;;;;;;;
48;nzz_1993_09_29_a3_seg2_s2_hit1;( Reuter ) Die bosnische Regierung hat sich am Dienstag ohne territorialen Vorbehalt für die Annahme des Friedensplans für Bosnien-Herzegowina ausgesprochen , wenn dessen Umsetzung international garantiert wird . ;aussprechen;vorbehalt;anim_like;done;yes;yes;agens;frei;;;;;;;;;;;
49;nzz_1999_04_23_a46_seg3_s3_hit1;Sie bringt namentlich einen neuen Status der Kantonalbanken , die ihr Geschäft künftig auch ohne Staatsgarantie betreiben können . ;betreiben;staatsgarantie;;done;yes;yes;methode;frei;;;;;;;;;;;
50;nzz_1999_04_29_a142_seg4_s16_hit1;« Sie steht zu dem , was sie tut , und tut dies ohne Vorbehalt , unter Einsatz all ihrer Kräfte . ;tun;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
51;nzz_1998_06_15_a106_seg3_s4_hit1;Damit hatte sich ein Leitungsteam konstituiert , dem man ohne Vorbehalt den Aufbruch zutrauen mochte . ;zutrauen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
52;nzz_1998_06_12_a61_seg20_s1_hit1;stellt klar , dass die Landesregierung ein Energiegesetz ohne Energieabgabe präsentiert hat und die Solar- sowie die Energie- und Umweltinitiative ohne Gegenvorschlag zur Ablehnung empfiehlt . ;energiegesetz;energieabgabe;ModNP;not_of_interest;no;;;;;;;;;;;;;;
53;nzz_1998_06_18_a52_seg10_s2_hit1;, Schwyz ) sagt mit seiner Fraktion ohne Vorbehalt Ja zum Erlass . ;sagen;vorbehalt;clash_of_coordination;done;yes;yes;agens;frei;;;;;;;;;;;
54;nzz_1998_06_17_a225_seg7_s12_hit1;Sie konstituiert Wahrheiten ohne Zweckbestimmung . ;wahrheit;zweckbestimmung;;not_of_interest;no;;;;;;;;;;;;;;
55;nzz_1996_02_22_a149_seg7_s7_hit1;Schliesslich kam auch die Forderung , es müsse allen betroffenen Steuerpflichtigen die Revision der Veranlagung ab Steuerjahr 1993 zugestanden werden , selbst im Falle rechtskräftiger und ohne Vorbehalt akzeptierter Einschätzungen . ;akzeptiert;vorbehalt;ModADJ;not_of_interest;no;;;;;;;;;;;;;;
56;nzz_1996_01_31_a147_seg3_s23_hit1;"Ein « Schwan » spielt « hässliches Entchen » ; denn also zum prosaischen Vogel : Mit der von Daniel Karasek inszenierten « Wildente » bringt das Schauspielhaus ein Familiendrama auf die Bühne , in dem sich Henrik Ibsens nüchternes , ja bitteres Menschenbild entfaltet ; eingespeist in die sozialpolitische Aufbruchstimmung Norwegens zwischen 1882 und 1884 , wenn auch ohne Ansatz eines optimistischen Geistes . ";einspeisen;ansatz;;done;yes;yes;rein;frei;;;;;;;;;;;
57;nzz_1996_01_31_a151_seg3_s9_hit1;Beethovens spätes F-Dur-Quartett op. 135 erklang ohne subjektives Drama , bei den schnellen Sätzen mit etwas unterkühlter Wirkung . ;erklingen;drama;;done;yes;yes;rein;frei;;;;;;;;;;;
58;nzz_1996_02_22_a149_seg5_s5_hit1;Das Verwaltungsgericht hielt aber auch fest , dass rechtskräftig vorgenommene Einschätzungen , die vom Steuerpflichtigen ohne Vorbehalt akzeptiert worden waren , nicht zu revidieren seien . ;akzeptieren;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
59;nzz_1997_04_29_a35_seg2_s14_hit1;Weiter gibt er zu bedenken , dass eine Uneinigkeit der beiden Bezirke dahin führen könnte , dass am Schluss die Deutschschweizer ohne eigenes Spital dastünden und so die Spitalpflege nach Bern verlagert werde . ;dastehen;spital;;done;yes;yes;rein;notwendig;;;;;;;;;;;
60;nzz_1996_07_30_a121_seg9_s1_hit1;Dank der Fernbedienung können wir uns bedienen lassen - ohne schlechtes Gewissen und in immer mehr Bereichen . ;bedienen;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
61;nzz_1996_07_24_a39_seg9_s20_hit1;Dies im Bewusstsein , dass man Vergessenes ohne Nachteil noch vor Obergericht vorbringen und so den Prozess allenfalls in der Berufungsinstanz auf ganz neue tatsächliche Grundlagen stellen kann . ;vorbringen;nachteil;;done;yes;yes;rein;frei;;;;;;;;;;;
62;nzz_1996_07_17_a100_seg2_s5_hit1;Hier kann der Kunstenthusiast ohne schlechtes Gewissen zum Kunden werden , kann die Anstrengung der säkularen Devotion vor den grossen Werken zum entspannenden Konsum sich wandeln . ;werden;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
63;nzz_1994_12_08_a127_seg4_s10_hit1;Gemessen an den erfreulich moderaten Preisen könnte wohl fast jeder zur Verkostung gereichte Wein ohne Vorbehalt empfohlen werden . ;empfehlen;vorbehalt;unknown;done;yes;yes;agens;frei;;;;;;;;;;;
64;nzz_1998_11_05_a25_seg3_s4_hit1;Abdelaal war von der kolumbianischen Grenzpolizei verhaftet worden , als er ohne gültiges Visum von Ecuador ins Nachbarland ausreisen wollte . ;ausreisen;visum;INSTR;not_of_interest;yes;no;;;;;;;;;;;;;
65;nzz_1998_11_07_a26_seg3_s2_hit1;Diese Soldaten , die im Namen einer Disziplin hingerichtet worden seien , deren Härte nur mit jener der Kämpfe im Schützengrabenkrieg zu vergleichen gewesen sei , würden nun ohne Vorbehalt in das kollektive Gedächtnis der Nation aufgenommen , erklärte Jospin bei einem kurzen Besuch in Craonne auf dem einstigen Schlachtfeld . ;aufnehmen;vorbehalt;unknown;done;yes;yes;agens;frei;;;;;;;;;;;
66;nzz_1998_03_30_a139_seg4_s17_hit1;Als wesentlichen Vorteil brächte sie höchstens die ohne Kunstgriff zu erreichende Zahl von 44 Qualifikationsspielen . ;erreichend;kunstgriff;;done;yes;yes;rein;frei;;;;;;;;;;;
67;nzz_1998_11_04_a17_seg6_s5_hit1;Zwar folgten die Delegierten am Wochenende seinem Rat und machten den Weg für Ringstorff frei , doch geschah dies nicht ohne inneren Vorbehalt - wie die Nein-Stimmen und Enthaltungen nun beweisen . ;geschehen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
68;nzz_1998_11_05_a235_seg7_s19_hit1;Die Führerin Marina führt uns diese dunklen Jahre sachlich und detailreich vor Augen , ohne Beschönigung , ohne unnötige Dramatisierung . ;führen;dramatisierung;;done;yes;yes;rein;frei;;;;;;;;;;;
69;nzz_1998_11_05_a57_seg9_s6_hit1;Noch bevor die Innerschweizer am 19. November nachgeben und ihre Parlamentarier ohne Vorbehalt entsenden , haben sich die beiden Kammern am 6. November 1848 im Vorort Bern konstituiert . ;entsenden;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
70;nzz_1993_08_18_a78_seg3_s5_hit1;Auch die Schweden Anders Forsbrand oder Joakim Haeggman , denen noch eine reelle Chance eingeräumt werden kann , sich ohne Umweg zu qualifizieren , kämpfen im Wallis um einen möglichst happigen Teil - im Falle des Sieges sind es 102 960 Pfund - des mit einem Gesamtpreisgeld von 618 000 Pfund dotierten Grossanlasses . ;qualifizieren;umweg;;done;yes;yes;rein;frei;;;;;;;;;;;
71;nzz_1993_08_13_a42_seg2_s17_hit1;« Ohne Drama , sondern mit einem Lächeln das Gefühl des Unwiederbringlichen » heraufzubeschwören , das war Iosselianis Absicht , und verwirklicht hat er sie ( zusammen mit dem Kameramann William Lubtchansky und einer perfekt unperfekten Ausstattung durch Emmanuel de Chauvigny ) in einem Abgesang von unnachahmlich schwebender Ironie , mit einer Leichtigkeit , die dem Flügelschlag des Schmetterlings gleichkommt . ;heraufbeschwören;drama;;done;yes;yes;methode;frei;;;;;;;;;;;
72;nzz_1996_09_07_a211_seg12_s7_hit1;"Die Figuren , als hielten sie in ihrer Bewegung inne , werden unversehens statisch ; die lose und ohne erkennbares inneres Prinzip aneinandergereihten Episoden setzen weder die Handlung fort , noch fügen sie den Charakteren neue Elemente hinzu . ";aneinandergereiht;prinzip;;not_of_interest;no;;;;;;;;;;;;;;
73;nzz_1996_09_07_a82_seg7_s5_hit1;Für Delamuraz schafft das Aufeinandertreffen von Globalisierung und harziger Wirtschaftsentwicklung heute besondere Probleme , die ohne Tabu , aber mit einem feinen Gespür um das letztlich Notwendige anzugehen sind . ;angehen;tabu;;done;yes;yes;rein;frei;;;;;;;;;;;
74;nzz_1996_09_23_a180_seg1_s33_hit1;Aber solche Urteile wären wertlos ( und kostspielig zugleich ) , wenn sie die Produktion von Gesundheitsleistungen ohne ökonomischen Kontext postulieren wollten . ;postulieren;kontext;ModNP;not_of_interest;no;;;;;;;;;;;;;;
75;nzz_1996_09_13_a174_seg2_s1_hit1;Sitten wenigstens ohne Gegentor ins Rückspiel in die Ukraine ;sitte;gegentor;ModPRÄD;not_of_interest;no;;;;;;;;;;;;;;
76;nzz_1996_09_14_a3_seg2_s76_hit1;Es wird ohne Gewissen nichts Fruchtbares gesät . ;säen;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
77;nzz_1996_05_24_a129_seg3_s3_hit1;Unter dieser Prämisse verdienen die positiven Aspekte der Darbietungen besondere Beachtung , und nicht ohne Vorbehalt mag man Einwände geltend machen . ;machen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
78;nzz_1997_10_31_a197_seg6_s5_hit1;In der neuen « TAZ » trägt der ehemalige Rebell jetzt Nadelstreifen und gibt sich endlich ohne schlechtes Gewissen dem staatstragenden Realismus und der Mehrung des eigenen Wohlstands hin . ;geben;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
79;nzz_1997_11_25_a126_seg3_s19_hit1;Irmgard Lange , die in Bern Regie führt , setzt ihre Mannschaft den Stürmen der Gefühle ohne Vorbehalt aus . ;setzen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
80;nzz_1997_03_27_a182_seg3_s13_hit1;Ob der überfordert wirkende und ohne klares Konzept agierende Vorstand die Probleme so in den Griff bekommt , bleibt abzuwarten . ;agierend;konzept;;not_of_interest;no;;;;;;;;;;;;;;
81;nzz_1996_10_10_a158_seg7_s4_hit1;Auf der Haupttribüne verliess Guy Roux seinen Logenplatz ohne schlechtes Gewissen vorzeitig . ;verlassen;gewissen;anim;done;yes;yes;agens;frei;;;;;;;;;;;
82;nzz_1998_03_18_a21_seg8_s9_hit1;Mit der Festigung des bisher schwächsten Verbindungsstückes in der dynastischen Kette ist es nur noch eine Frage der Zeit , bis auch Sonias Kinder , die im Gegensatz zu ihr ohne den Makel einer ausländischen Geburt dastehen , in die politische Arena treten . ;dastehen;makel;;done;yes;yes;rein;notwendig;;;;;;;;;;;
83;nzz_1998_03_09_a99_seg3_s11_hit1;"Die harten Worte nehmen den Disput vorweg , der nach der Veröffentlichung von « L &apos; homme révolté » ( 1951 ) zum Bruch führt zwischen Sartre , der sich zu den « schmutzigen Händen » bekennt , und dem Verfechter einer Revolte der reinen Weste , der ohne die Brechtsche Bitte um Nachsicht vor der Gegenwart und der Zukunft bestehen möchte . ";bestehen;bitte;;done;yes;yes;rein;frei;;;;;;;;;;;
84;nzz_1998_12_05_a225_seg3_s4_hit1;Die von Yves Débonnaire geführte Formation entledigte sich des Pensums ohne Niederlage . ;entledigen;niederlage;;done;yes;yes;rein;frei;;;;;;;;;;;
85;nzz_1998_08_26_a20_seg5_s2_hit1;Sowohl Premierminister Blair als auch Aussenminister Cook hatten das Vorgehen Washingtons ohne Vorbehalt gebilligt . ;billigen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
86;nzz_1998_12_05_a241_seg3_s5_hit1;Und wenn sich auch in London die Kritiker gegenwärtig noch darüber streiten , ob die Renovierung ( zum Beispiel skandinavisch anmutende Fussböden in altehrwürdigen Räumen ) dem Look der Courtauld Galleries nun wirklich ansteht : als Kunstmuseum scheinen diese nach wie vor perfekt proportioniert zu sein - gross genug , um zu beeindrucken , und dennoch klein genug für Besucher , die hier voll , das heisst ohne Anfall von Museumsmüdigkeit , bei der Sache sein wollen . ;heißen;anfall;;done;yes;yes;rein;frei;;;;;;;;;;;
87;nzz_1995_08_10_a152_seg3_s17_hit1;Einzig in La Sarraz können die Bälle ohne Vorgabe über den Übungsplatz geschlagen werden . ;schlagen;vorgabe;;done;yes;yes;methode;frei;;;;;;;;;;;
88;nzz_1995_12_01_a169_seg9_s1_hit1;Ohne rosarote Brille betrachtet , erweitert der Corner-PC die bisherigen Spielmöglichkeiten um amüsante Varianten und nähert sich mit einem kleinen , durchaus achtbaren Schritt dem so häufig angekündigten multimedialen Paradies . ;betrachten;brille;;not_done;;;;;;;;;;;;;;;
