Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
120;VVINF;ADV;machen;4;NZZ_1994_04_27_a166_seg29_s9;3;Full|3|Pl|Pres|Ind;Was Frauen anders machen als Männer .;prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
177;VVPP;ADV;machen;21;NZZ_1996_06_15_a24_seg9_s2;2;Full|Psp;Nicht anders als Lerner in der sogenannten Musterkapitale Curitiba hatte sich Azeredo zuvor als Bürgermeister von Belo Horizonte einen Namen gemacht, und sein gewählter Nachfolger, Patros Ananias von der linkssozialdemokratischen Arbeiterpartei ( PT ), scheint in seine Fussstapfen zu treten .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
75;VVFIN;ADV;meiden;11;NZZ_1999_02_13_a66_seg5_s6;14;Full|3|Sg|Past|Ind;Wohl um grössere Staus auf der Tanzfläche zu verhindern, mied sie, anders als die in ein rosarotes Armanikostüm gekleidete Dunaway, das Parkett .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
184;VMFIN;ADV;müssen;32;NZZ_1999_06_25_a226_seg4_s7;27;Mod|3|Sg|Past|Ind;"Mit der Divx wollten die Systemerfinder die Videotheken überflüssig machen : Eine Divx-Scheibe kostete lediglich vier bis fünf Dollar - so viel wie ein Leihvideo ; anders als eine geliehene Videokassette musste man eine Divx nach Ablauf der Ausleihfrist nicht zurückbringen .";nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
161;VVIZU;ADV;nahebringen;34;NZZ_1996_11_11_a79_seg3_s8;19;Full|zu;Ins All darf man sie begleiten : die Nasa habe sie in den Weltraum geschickt, weil niemand anders so gut die positiven Werte und Ideale der amerikanischen Kultur den Bewohnern fremder Planeten nahezubringen wisse .;nd;nd;not of interest;false hit;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
104;VVFIN;ADV;nehmen;13;NZZ_1999_07_08_a137_seg3_s20;17;Full|3|Pl|Pres|Ind;Eine treffende Charakterisierung, denn Erinnerungen an den Rock der sechziger Jahre nehmen sich meist nicht anders aus als ein gutbürgerliches Klassentreffen mit seinen verklärten Erinnerungen zwanzig Jahre nach Verlassen der Schulbank .;prozess;rein;not of interest;sd;;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
128;VVINF;ADV;positionieren;43;NZZ_1999_03_29_a137_seg9_s3;33;Full|-2;In einem Jahr findet die Veranstaltung neu im Februar statt, was Sportchef Fuchs, an dem die OK-Präsidenten Urs und Rolf Theiler festhalten, dazu nutzen will, das Turnier etwas anders ( mit einer Tour für junge Pferde ) zu positionieren .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
37;VVFIN;ADV;präsentieren;3;NZZ_1994_09_16_a116_seg8_s4;2;Full|3|Sg|Pres|Ind;Etwas anders präsentiert sich das Provisorium in der alten Kaserne .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
107;VVFIN;ADV;präsentieren;2;NZZ_1995_08_05_a163_seg13_s11;4;Full|3|Pl|Past|Ind;Wegwerfgewohnheiten präsentierten sich anders als das, was man gemeinhin darüber sage und schreibe .;prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
74;VVFIN;ADV;reagieren;2;NZZ_1999_01_19_a25_seg5_s8;5;Full|3|Sg|Past|Ind;Maitre reagierte damit ganz anders als der CVP-Generalsekretär Gernet, der die Äusserungen Beerlis als unerwünschte und unnötige « Belehrungen » zurückgewiesen hatte .;prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
