;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
39;VVFIN;ADJD;schlagen;2;NZZ_1996_09_26_a196_seg4_s25;16;Full|3|Sg|Past|Ind;Zudem schlug der 22jährige Viertelfinalist von Wimbledon ( Fünfsatzniederlage gegen den späteren Finalisten Washington ) konstant auf , servierte Asse gleich in Serie , was das Publikum weitgehend um den Genuss interessanter Ballwechsel prellte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
40;VVINF;ADJD;halten;12;NZZ_1998_09_05_a80_seg2_s6;10;Full|-2;Um die Bevölkerung - ohne Zu- oder Abwanderung - konstant zu halten , müssten 100 Schweizerinnen im Durchschnitt 210 Kinder gebären .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
41;VVFIN;ADJD;treiben;36;NZZ_1993_02_19_a211_seg6_s13;20;Full|3|Sg|Past|Ind;Trotz den geschmähten Steuersenkungen Reagans blieb der Anteil der Steuern am Bruttoinlandprodukt ( BIP ) mit knapp 19% auffallend konstant , während das bis zuletzt ungebremste Wachstum der Ausgaben das Defizit auf 4% des BIP trieb .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
42;VVFIN;ADJD;spielen;29;NZZ_1996_06_12_a190_seg3_s16;28;Full|3|Sg|Past|Ind;Diese Defizite , erschwert durch Verletzungen , waren auch verantwortlich , dass Hagi als « Legionär » ( Real Madrid , Brescia und FC Barcelona ) zuwenig konstant spielte und unter Cruyff zuletzt in der katalanischen Metropole im Gegensatz zu seinem Landmann Popescu nur mehr sporadisch eingesetzt wurde .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
43;VVFIN;ADJD;erweisen;2;NZZ_1994_06_22_a151_seg2_s14;5;Full|3|Sg|Past|Ind;Rosset erwies sich als konstant , über Erwarten stark im Retournieren von gegnerischen Aufschlägen und effizient im Volley-Spiel .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
44;VVFIN;ADJD;erweisen;6;NZZ_1999_04_20_a52_seg8_s5;5;Full|3|Sg|Pres|Ind;Auf kleinem Niveau erstaunlich konstant erweist sich die EVP .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
45;VVFIN;ADJD;schwanken;8;NZZ_1996_09_16_a67_seg12_s1;7;Full|3|Pl|Pres|Ind;Obwohl an den Finanzmärkten die Meinungen konstant schwanken , ob das Federal Reserve noch in diesem Monat oder vor den Wahlen eine Zinserhöhung vornehmen wird , trägt die weitgehend bestehende Erwartung eines grundsätzlich steigenden Zinstrends zu einem sehr aktiven Emissionsgeschehen bei .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
46;VVFIN;ADJD;lassen;12;NZZ_1994_07_14_a35_seg6_s3;4;Full|3|Sg|Pres|Ind;Der im Mai konstant bei einer Jahresrate von 75% liegende Trend lässt den Schluss zu , dass die konjunkturelle Erholung noch nicht zu Flaschenhälsen am Arbeitsmarkt mit entsprechend kräftigen Lohnsteigerungen geführt hat .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
47;VVFIN;ADJD;schlagen;2;NZZ_1998_04_06_a116_seg4_s6;3;Full|3|Sg|Past|Ind;Er schlug konstant auf , wenn auch mit viel Risiko und entsprechend hoher Doppelfehlerquote .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
48;VVPP;ADJD;beziehen;18;NZZ_1999_05_19_a178_seg3_s6;14;Full|Psp;Zudem müsste die vom Bund zur Verfügung gestellte Quote der Gelder vom Kanton konstant in vollem Umfang bezogen und entsprechend aufgestockt werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
