Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
26;VVFIN;ADJD;kämpfen;2;NZZ_1999_12_14_a45_seg3_s16;8;Full|3|Sg|Past|Ind;Er kämpfte in den fünfziger Jahren auch vehement gegen die Atombewaffnung der Schweizer Armee .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VVFIN;ADJD;setzen;3;NZZ_1999_10_14_a206_seg11_s20;6;Full|3|Sg|Past|Ind;Gleichzeitig aber setzte er sich vehement gegen die liberale Demokratie und den Parlamentarismus ein, den er als Erzübel betrachtete .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
28;VVPP;ADJD;bekämpfen;21;NZZ_1994_11_23_a22_seg7_s1;20;Full|Psp;Dieser seit den siebziger Jahren von der Provinzregierung vorangetriebene Ausbau der Wasserkraft war von den dort beheimateten Cree- Indianern vehement bekämpft worden .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
29;VVPP;ADJD;protestieren;44;NZZ_1993_04_14_a47_seg7_s4;43;Full|Psp;Während indessen Lothringen die auf anderthalb Stunden halbierten Reisezeiten von Metz und Nancy nach Paris einstweilen genügen, hat das Elsass ( das Unterelsass zumindest ) gegen die Beschränkung auf die Etappe bis vor die Vogesen ( die Fortsetzung blieb unerwähnt ) vehement protestiert .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
30;VVFIN;ADJD;sträuben;19;NZZ_1997_06_28_a112_seg5_s3;21;Full|3|Pl|Past|Subj;Andere hingegen, wie etwa Günter Behnisch, der dort den Neubau der Akademie der Künste plant, sträubten sich vehement gegen die hier verlangte « steinerne » Architektur .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
31;VVPP;ADJD;ablehnen;27;NZZ_1996_04_27_a108_seg22_s8;26;Full|Psp;"Die Noranda-Generalversammlung vom Donnerstag stand vorab im Zeichen eines umstrittenen Goldminenprojektes in der Nähe des amerikanischen Yellowstone-Parks ; dieses wird von Umweltschützern und den Anwohnern vehement abgelehnt, wogegen Noranda davon überzeugt ist, bis zum Jahresende im Besitz der notwendigen Bewilligungen zu sein .";prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
32;VVFIN;ADJD;sprechen;2;NZZ_1993_04_10_a202_seg11_s3;9;Full|3|Sg|Past|Ind;Balladur sprach sich deshalb auch am Donnerstag wieder vehement für die Aufrechterhaltung einer fixen D-Mark-Franc-Wechselkursrelation und gegen eine Abwertung der französischen Valuta aus .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VVPP;ADJD;vorantreiben;7;NZZ_1997_12_22_a145_seg3_s15;6;Full|Psp;Die Entwicklung eines Riesenslalomski sei vehement vorangetrieben worden, sagt Toni Schutti, Rennsportleiter bei Atomic, zur Strategie des Unternehmens .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
34;VVFIN;ADJD;wehren;5;NZZ_1996_03_13_a27_seg11_s2;7;Full|3|Sg|Pres|Ind;Die Historikerin Elisabeth Joris wehrt sich vehement gegen das « eindimensionale machtstrategische Denken » Bodenmanns und Daguets, das sich im Manko an Sensibilität für grundlegende geschlechterspezifische Differenzierungen und in der gleichzeitig äusserst lehrerhaften Attitüde zeige .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
35;VVPP;ADJD;bestreiten;26;NZZ_1999_10_11_a35_seg6_s5;25;Full|Psp;Zudem sei die Bausubstanz der Bettentrakte in Baar gut, während in Zug bestehende Bettentrakte und Infrastruktur abgebrochen werden müssten, was in Zug vehement bestritten wird .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
36;VVPP;ADJD;kritisieren;9;NZZ_1999_10_22_a85_seg3_s6;8;Full|Psp;September, die von Max Gerster so vehement kritisiert worden ist, bezog sich nicht auf die Reform als Ganzes, sondern vor allem auf die vorgesehene Erschwerung der Gründung .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
37;VVFIN;ADJD;weisen;36;NZZ_1997_09_09_a190_seg15_s8;33;Full|3|Sg|Pres|Ind;Anderseits wäre eine bessere Auslastung des Smart-Werks wohl auch durch eine Parallelproduktion der ebenfalls sehr kompakten (, m ), aber fünfplätzigen A-Klasse denkbar - eine Möglichkeit, die MCC-Tomforde allerdings vehement von sich weist ...;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
38;VVFIN;ADJD;setzen;18;NZZ_1999_09_25_a234_seg7_s12;24;Full|3|Sg|Past|Ind;Schliesslich avancierte Spada zum mächtigen Verwalter der architektonischen Projekte der Päpste Innozenz X. und Alexander VII. und setzte sich in seinem neuen Amt vehement für Borrominis Sache ein .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
39;VVFIN;ADJD;wenden;2;NZZ_1996_12_13_a227_seg5_s5;4;Full|3|Sg|Pres|Ind;Er wendet sich vehement gegen jede Art des Schlussstriches : « Ohne die Öffnung der Akten wären die Lügen derer, die damals verantwortlich waren, weitaus grösser, wäre auch in grossen Teilen der Bevölkerung der Grad der nachträglichen Selbsttäuschung weitaus höher, hätten wir als Medikamente gegen die Nostalgie nur unsere begrenzten Erinnerungen und nicht auch umfangreiche schriftliche Quellen . »;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
40;VVFIN;ADJD;opponieren;3;NZZ_1998_09_28_a24_seg6_s5;4;Full|3|Pl|Past|Ind;Die Liberalen opponierten vehement gegen allfällige Pläne, die Unternehmen fiskalisch weiter zu drangsalieren, das Zentrum verwahrte sich gegen den Versuch, die Sozialleistungen zurückzubinden, und die Christlichdemokraten wollten sicherstellen, dass das Kindergeld - wie anlässlich der Wahlen vor einem Jahr versprochen - auf jeden Fall erhöht wird .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
41;VVPP;ADJD;stellen;22;NZZ_1996_02_17_a230_seg5_s5;19;Full|Psp;Die gern und oft behauptete « Verbürgerlichung » des Hoftheaters und der Kunstentwicklung an den Fürstenhöfen überhaupt wird vehement in Frage gestellt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
42;VVPP;ADJD;widersprechen;8;NZZ_1994_09_09_a133_seg3_s14;7;Full|Psp;Dieser Darstellung wurde auf der Gegenseite vehement widersprochen .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
43;VVPP;ADJD;bestreiten;8;NZZ_1996_09_13_a59_seg3_s5;7;Full|Psp;Der Handwerker hatte diese Aussage immer vehement bestritten .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
44;VVFIN;ADJD;attackieren;3;NZZ_1997_01_24_a213_seg3_s19;4;Full|3|Pl|Pres|Ind;Die Autoren attackieren vehement gängige Tabus und liefern zahlreiche, mitunter provozierende Vorschläge für eine freiheitliche und offene Gesellschaftsordnung .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
45;VVFIN;ADJD;kritisieren;21;NZZ_1996_07_19_a9_seg8_s6;22;Full|3|Sg|Past|Ind;Saudiarabien schliesslich, das im Namen von einem guten Dutzend Staaten - zur Hauptsache Erdölförderländer einschliesslich Russlands - sprach, kritisierte vehement das allgemeine Vorgehen der Konferenz, dem jegliche Transparenz fehle .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
46;VVPP;ADJD;warnen;11;NZZ_1995_10_02_a13_seg3_s4;5;Full|Psp;Die polnischen Bischöfe haben vehement vor den Kandidaten der Linken gewarnt .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
47;VVFIN;ADJD;stellen;2;NZZ_1996_03_25_a152_seg6_s15;6;Full|3|Sg|Past|Ind;Agassi stellte in Key Biscayne vehement Zitate in Abrede, er habe gesagt, der Sandwühler Muster sei der ersten Rankingposition nicht würdig .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
48;VVFIN;ADJD;lehnen;10;NZZ_1998_10_19_a21_seg12_s1;12;Full|3|Sg|Pres|Ind;Die ideologischen Ziele der Islamisten wie auch deren Mittel lehnt er vehement ab .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
49;VVFIN;ADJD;widersprechen;5;NZZ_1996_04_06_a188_seg4_s13;19;Full|3|Sg|Past|Ind;Vor dem Bezirksgericht Meilen widersprach der Angeklagte dieser Darstellung, auf der die Anklage des Bezirksanwalts fusst, vehement .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
50;VVFIN;ADJD;unterstützen;18;NZZ_1998_01_29_a140_seg8_s9;17;Full|3|Pl|Pres|Ind;Die amerikanische Variante des Kapitalismus, den die fundamentalistischen Christen und die republikanischen Verfolger Clintons so vehement unterstützen, rechnet nicht mit dem guten, sondern mit dem durch und durch egoistischen Menschen, der zunächst für sich und allenfalls für seine Nächsten arbeitet .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
51;VVFIN;ADJD;entgegenstemmen;21;NZZ_1998_09_19_a99_seg8_s7;20;Full|3|Pl|Past|Ind;Eine solche Lösung scheiterte indessen am Widerstand der Gewerkschaften, die sich dem massiven Abbau von Leistungen und Arbeitsplätzen vehement entgegenstemmten .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VVPP;ADJD;antreten;19;NZZ_1996_07_05_a157_seg2_s12;13;Full|Psp;( Es war allerdings die gleiche SP, die vor drei Jahren vehement gegen einen Ausbau der Bahnhofunterführung angetreten ist, die den an den Rollstuhl gefesselten Mitmenschen und auch Müttern mit Kinderwagen eine spürbare Erleichterung gebracht hätte . );prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
