Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
177;VVPP;ADJD;abgelten;45;NZZ_1999_03_05_a237_seg6_s4;44;Full|Psp;Und dies kann nur gelingen, wenn die grossen Namen der Leichtathletik auch unter Dach zugegen sind, die sich wiederum nur dann gerne in ihrer Vorbereitung auf die in jeglicher Hinsicht wichtigeren Freiluft-WM in Sevilla stören lassen, wenn die lange Anreise grosszügig abgegolten wird .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
178;VVPP;ADJD;einräumen;33;NZZ_1995_12_04_a27_seg1_s9;32;Full|Psp;Doch man kann es drehen und wenden, wie man will : Selbst mit der Kompetenz für ein zusätzliches Prozent der Mehrwertsteuer, die der Souverän 1994 bei deren Einführung bereits grosszügig eingeräumt hat, bleibt zur Absicherung der bestehenden AHV ein Loch von rund, Mehrwertsteuerprozenten, was jährlich, Milliarden Franken entspricht .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
179;VVINF;ADJD;umgehen;17;NZZ_1999_08_17_a52_seg3_s1;11;Full|-2;Interlaken, 13. Aug. ( sda ) Redaktionen sollten möglichst grosszügig mit Reaktionen auf eigene Medienberichte umgehen, selbst wenn sie darin scharf kritisiert werden .;prozess;agensorientiert;done;anim_like;;möglich;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
180;VVPP;ADJD;unterstützen;24;NZZ_1997_03_25_a152_seg9_s15;23;Full|Psp;Den Akt der Entsolidarisierung können wir nicht mittragen, während gleichzeitig Grossprojekte einflussreicher Kreise - Zoo, Opernhaus, Schloss Kyburg - grosszügig unterstützt werden .;prozess;agensorientiert;done;unknown;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
181;VVPP;ADJD;reagieren;36;NZZ_1994_09_17_a9_seg8_s9;32;Full|Psp;"Zustimmend reagierten Exponenten der gemässigt-nationalistischen SDLP ; ein Sprecher Sinn Feins kritisierte, dass mit der Aufhebung viel zu lange zugewartet worden sei und dass die Briten nicht genügend spontan und grosszügig auf den Waffenstillstand reagiert hätten .";prozess;agensorientiert;done;anim;;notwendig;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
182;VVFIN;ADJD;zeigen;16;NZZ_1994_08_23_a68_seg6_s8;15;Full|3|Sg|Past|Ind;Das Eis war gebrochen, als sich der Kanton Tessin in finanzieller Hinsicht äusserst grosszügig zeigte und versprach, an die Gesamtkosten in der Höhe von 2 Mio. Fr. Eigenleistungen von etwa einer halben Mio. Fr. zu erbringen .;prozess;agensorientiert;done;anim_like;;notwendig;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
183;VVFIN;ADJD;gewähren;21;NZZ_1999_06_15_a38_seg9_s3;19;Full|3|Sg|Pres|Subj;Er machte sich stark für den Mittelweg der « luziden Grosszügigkeit », welche zwar Menschen in Not grosszügig Schutz gewähre, vor allem aber Hilfe in Kosovo und den Erstasylländern leiste .;prozess;rein;done;inanim;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
184;VVPP;ADJD;anbieten|angebieten;20;NZZ_1998_08_20_a47_seg9_s5;18;Full|Psp;Ihnen und all jenen neu ankommenden Flüchtlingen wurde von den Behörden ohne grosse Formalitäten Aufnahme gewährt und grosszügig Asyl angeboten .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
185;VVPP;ADJD;abrechnen;16;NZZ_1996_01_08_a82_seg3_s23;15;Full|Psp;Zum einen lässt sich die ungeordnete oder schlecht geordnete Existenz Verlaines, historische Voraussetzungen grosszügig abgerechnet, mit dem abenteuerlichen Leben François Villons vergleichen, und daraus ergibt sich das « zeitlose » Bild des Poeten, für den die bürgerlichen Gesetzlichkeiten nicht gelten, den seine Kunst dazu legitimiert oder zwingt, « etwas anderes » zu sein als gewöhnliche Menschen .;nd;nd;not of interest;;ModSekPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
186;VVFIN;ADJD;erweisen;4;NZZ_1995_09_15_a179_seg3_s2;7;Full|3|Sg|Past|Ind;Doch der Franzose erwies sich als grosszügig und überliess dem « Helden des Tages », der 199 km alleine vorausgefahren war, quasi als Anerkennung für das Geleistete den Etappensieg .;nd;nd;not of interest;;vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
