Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
63;VVFIN;ADJD;studieren;21;NZZ_1997_04_05_a214_seg8_s24;22;Full|3|Sg|Past|Ind;"Das Kind war, wie die Autobiographie erzählt, « gar bald die Ovidischen &lt;Verwandlungen&gt; gewahr » geworden und « studierte fleissig besonders die ersten Bücher » - « so war mein junges Gehirn schnell genug mit einer Masse von Bildern und Begebenheiten, von bedeutenden und wunderbaren Gestalten und Ereignissen angefüllt, und ich konnte niemals Langeweile haben, indem ich mich immerfort beschäftigte, diesen Erwerb zu verarbeiten [ ... ] » Nach einem anderen Zeugnis aus « Dichtung und Wahrheit » bekennt Goethe die « wunderliche Gewohnheit, immer die Anfänge der Bücher und Abteilungen eines Werks auswendig zu lernen » - so geschah es auch bei Ovids « Metamorphosen » .";prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
64;VVINF;ADJD;punkten;19;NZZ_1995_10_12_a158_seg3_s12;18;Full|3|Pl|Pres|Ind;Während ein paar vor der Saison in der zweiten Tabellenhälfte vermutete Konkurrenten ( Rapperswil-Jona, Ambri-Piotta ) fleissig punkten, beschäftigt sich Freiburg mit eigenen, teilweise hausgemachten Problemen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
65;VVINF;ADJD;graben;30;NZZ_1996_11_02_a201_seg10_s15;29;Full|3|Pl|Past|Ind;Wenn die Wiederbelebung gelang ( die Mumifizierung diente ja nicht der Erhaltung des Leichnams, sondern bereitete den Menschen auf sein ewiges Leben vor ) und die Uschebtis fleissig gruben, war man drüben, bevor Grabräuber auch nur in die Nähe kamen .;prozess;agensorientiert;done;inanim;AGENS metonymisch/metaphorisch;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
66;VVFIN;ADJD;kaufen;18;NZZ_1996_12_16_a92_seg5_s5;20;Full|3|Pl|Past|Ind;Zur Freude der Detaillisten sahen sich die Besucher nicht nur in den Läden um, sondern sie kauften auch fleissig ein .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
67;VVINF;ADJD;üben;21;NZZ_1996_07_17_a144_seg3_s6;19;Full|-2;Der habe ihm nämlich bereits im Alter von drei Jahren ein Schwyzerörgeli geschenkt, auf dem er fortan fleissig zu üben begann .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
68;VVFIN;ADJD;rechnen;4;NZZ_1995_09_25_a91_seg13_s15;5;Full|3|Sg|Pres|Ind;Denn der Schulsenator rechnet fleissig den künftigen Bedarf an Lehrern hoch .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
69;VVPP;ADJD;umsetzen;19;NZZ_1994_06_29_a98_seg4_s2;15;Full|Psp;Beide hatten früh erkannt, was in diesen Themen steckte, und diese Erkenntnis fleissig in klingende Münze umgesetzt .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
70;VVPP;ADJD;lesen;76;NZZ_1996_08_24_a231_seg9_s24;75;Full|Psp;"Hier, im Mansöngr, häufen sich die Kenningar ( nicht immer korrekte, wenn man sich an die Regeln der Skaldendichtung hält ) ; hier werden manchmal Kenningar für « Dichtung » zu richtigen Concetti ausgesponnen, wie in dem folgenden Beispiel aus den wahrscheinlich um 1650 geschriebenen « Króka-Refs rímur » von Hallgrímur Pétursson, dem bedeutendsten isländischen Barockdichter, dessen Passionsmeditationen ( « Passíusálmar » ) heute noch in der Vorosterzeit fleissig gelesen und gesungen werden .";prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
71;VVINF;ADJD;betreiben;7;NZZ_1998_09_05_a172_seg2_s21;5;Full|3|Pl|Pres|Ind;Während die Bürgerlichen schon fleissig Stellungsbau betreiben - Buschor beispielsweise skizziert Grundrisse einer neuen Volksschule -, graben die Sozialdemokraten noch im personellen Fundus nach einer der Hauptfiguren .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
72;VVPP;ADJD;werken;21;NZZ_1996_07_09_a29_seg10_s21;12;Full|Psp;Leicht abgehoben auf einem Hügel mit wunderschöner Sicht auf Durres wird fleissig am Bau einer neuen Kirche mit angrenzendem Priesterseminar gewerkt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
